Term,Type,Synonyms,Definition,Generated Definition
board of directors,Class,,"Governing body (called the board) of an incorporated firm. Its members (directors) are elected normally by the subscribers (stockholders) of the firm (generally at an annual general meeting or AGM) to govern the firm and look after the subscribers' interests. The board has the ultimate decision-making authority and, in general, is empowered to (1) set the company's policy, objectives, and overall direction, (2) adopt bylaws, (3) name members of the advisory, executive, finance, and other committees, (4) hire, monitor, evaluate, and fire the managing director and senior executives, (5) determine and pay the dividend, and (6) issue additional shares. Though all its members might not be engaged in the company's day-to-day operations, the entire board is held liable (under the doctrine of collective responsibility) for the consequences of the firm's policies, actions, and failures to act. Members of the board usually include senior-most executives (called inside directors or executive directors) as well as experts or respected persons chosen from the wider community (called outside directors or non-executive directors).","A kind of entity controlling party. A valid occurrence satisfies the following necessary conditions:
is played by at least one occurrence of any type.
has party in role at least one occurrence of board member.
nominates at least one occurrence of corporate officer.
is played by at least one occurrence of `has capacity [fibo-fnd-law-lcap:hasCapacity]` some `board capacity`.A valid occurrence may also have the following properties:
has identity any number of occurrences of group."
body incorporated through agreement,Class,,"A body with legal personhood, incorporated through some agreement among the principals, and without equity or guarantee instruments which would isolate the principals from liability.",A kind of corporation.
body incorporated with guarantee,Class,,"Incorporated entity without share capital, and in which the liability of its members is limited to the amount each one of them undertakes to contribute at the time the firm is wound up.","A kind of corporation. A valid occurrence satisfies the following necessary condition:
is governed by at least one occurrence of body limited by guarantee principals agreement."
body limited by guarantee principals agreement,Class,,The formal agreement between the principals of a body limited by guarantee.,A kind of organization covering agreement.
body of law,Class,,"Some body of law, that is some set of laws, statutes, ordinances and the like.","A valid occurrence satisfies the following necessary condition:
incorporates some at least one occurrence of law."
bond,Class,,"A debt security, in which the authorized issuer owes the holders a debt and, depending on the terms of the bond, is obliged to pay interest (the coupon) and/or to repay the principal at a later date, termed maturity. It is a formal contract to repay borrowed money with interest at fixed intervals.","A kind of tradable debt instrument. A valid occurrence satisfies the following necessary conditions:
bond has coupon at least one occurrence of bond coupon.
has principal repayment terms at least one occurrence of bond principal repayment terms set.
callable at least one occurrence of Boolean value.
has coupon structure terms at least one occurrence of bond coupon structure type.
convertible at least one occurrence of Boolean value.A valid occurrence may also have the following properties:
capitalized interest any number of occurrences of Boolean value.
extraordinary redemption applicable any number of occurrences of Boolean value.
has coupon interest terms any number of occurrences of bond coupon interest terms.
has bond maturity registrar any number of occurrences of bond maturity registrar."
bond amortization payment terms,Class,,,"A kind of bond principal repayment terms set. A valid occurrence satisfies the following necessary condition:
has principal amortization type at least one occurrence of amortization type.A valid occurrence may also have the following properties:
periodic amortization amount any number of occurrences of monetary amount."
bond bullet principal repayment terms set,Class,,Terms for payment of Principal as a single amount of payment of the full Principal.,A kind of bond principal repayment terms set.
bond call terms set,Class,,The terms and conditions in which a bond can be redeemed by the issuer prior to its maturity. Usually a premium is paid to the bond owner when the bond is called.,"A kind of debt call terms. A valid occurrence may have the following properties:
has exercise type any number of occurrences of exercise dates convention.
call conditions any number of occurrences of text value.
premium at most one occurrence of monetary amount.
lockout period any number of occurrences of date period.
callable only for tax reasons any number of occurrences of Boolean value."
bond continuous call type,Class,,,
bond coupon,Class,bond interest,"Mechanism whereby an investor receives income from interest payments, which are usually made periodically.",A kind of contractually defined numerical parameter and debt security interest amount.
bond coupon interest terms,Class,,"Terms for payment of Interest on a Bond. These include terms for determining interest amounts, and terms for dates on which those amounts are to be paid.","A kind of debt security interest payment terms. A valid occurrence satisfies the following necessary condition:
coupon payment currency at least one occurrence of currency.A valid occurrence may also have the following properties:
first coupon date any number of occurrences of date.
annual coupon rate any number of occurrences of percentage.
special record date any number of occurrences of date.
coupon payment frequency any number of occurrences of frequency."
bond coupon structure type,Class,,"A set of contractual terms defining the interest payments for a coupon of a bond, beginning with terms describing stepped or conditional coupon structures if these exist.","A kind of contractual element. A valid occurrence satisfies the following necessary conditions:
specifies terms at least one occurrence of bond coupon interest terms.
specifies at least one occurrence of coupon schedule."
bond equivalent yield,Class,,Yield determined on an equivalent basis to the yield of another bond. This is used to be able to realistically compare prices between debt instruments across different markets.,"A kind of relatively defined debt instrument yield. A valid occurrence satisfies the following necessary condition:
determined using at least one occurrence of equivalent yield calculation method."
bond equivalent yield,Class,,,A kind of interest rate treatment.
bond exchange closing price,Class,,The price at close of trading on a given trading day on an exchange.,"A kind of exchange traded bond price. A valid occurrence satisfies the following necessary condition:
has closing price determination method exactly one occurrence of closing price determination method.A valid occurrence may also have the following properties:
trading date any number of occurrences of date.
closing price value any number of occurrences of monetary amount.
price determination convention notes any number of occurrences of text value."
bond exchange high price,Class,,The highest valuation over the period specified.,"A kind of exchange traded bond price. A valid occurrence satisfies the following necessary conditions:
price determination method at least one occurrence of text value.
price is traded at least one occurrence of Boolean value.
takes account of quote size at least one occurrence of integer value.
has applicable period at least one occurrence of date period."
bond exchange last price,Class,,The last (or most recent) valuation.,"A kind of exchange traded bond price. A valid occurrence satisfies the following necessary condition:
price is traded at least one occurrence of Boolean value.A valid occurrence may also have the following properties:
valuation date and time any number of occurrences of date and time value."
bond exchange low price,Class,,The lowest valuation over the period specified. Possibly but not necessarily based on a trade. Determined by the trading venue as to whether it's based on a trade or an offer. this can be regarded as a derived price. Price is based on a riule whil will cause one to pick a certain price type.,"A kind of exchange traded bond price. A valid occurrence satisfies the following necessary conditions:
has applicable period at least one occurrence of date period.
price is traded at least one occurrence of Boolean value.
price determination method at least one occurrence of text value.
takes account of quote size at least one occurrence of integer value."
bond exchange opening price,Class,,The value at the beginning of trading or opening of the market.,"A kind of exchange traded bond price. A valid occurrence may have the following properties:
opening price method any number of occurrences of text value."
bond extraordinary redemption,Class,,,"A kind of bond principal repayment terms set. A valid occurrence satisfies the following necessary condition:
has extraordinary redemption method at least one occurrence of extraordinary redemption method.A valid occurrence may also have the following properties:
is mandatory any number of occurrences of Boolean value.
is optional any number of occurrences of Boolean value."
bond fixed coupon,Class,,"Mechanism whereby an investor receives income from interest payments, which are usually made periodically. These are for a fixed amount.",A kind of bond coupon.
bond fixed coupon terms set,Class,,"Terms for payment of Interest on a Bond, where this pays a fixed rate of interest.","A kind of bond coupon interest terms. A valid occurrence satisfies the following necessary condition:
has formula at least one occurrence of fixed interest calculation formula.A valid occurrence may also have the following properties:
fixed coupon amount any number of occurrences of percentage.
fixed coupon amount any number of occurrences of percentage."
bond future,Class,,A future instrument where the underlying is a bond.,"A kind of interest rate future. A valid occurrence may have the following properties:
conversion factor any number of occurrences of Number."
bond future standardized terms set,Class,,"A set of standard terms for bond futures contracts, as set out by the derivatives exchange. Bond Futures contracts issued by and traded on that exchange will take on these terms or override them.","A kind of interest rate future standardized terms set. A valid occurrence may have the following properties:
conversion factor any number of occurrences of Number."
bond future underlying,Class,,The Bond which is the underlying instrument of a Bond Future contract.,"A kind of interest rate future debt underlying. A valid occurrence satisfies the following necessary condition:
identity at least one occurrence of bond."
bond insurance,Class,,Insurance on bond.,A kind of insurance backed guaranty.
bond issuance program,Class,,A series of bond issuances over time.,"A kind of debt issuance program. A valid occurrence satisfies the following necessary condition:
is a number of at least one occurrence of bond offer issue."
bond issue information,Class,,"Information about the Issuance of a Bond, which is maintained throughout the life of the Security.","A kind of debt instrument issue information. A valid occurrence may have the following properties:
o i d any number of occurrences of percentage."
bond issue prospectus,Class,,The prospectus for the bond issue describes the terms of the issue and each of the instruments included in the bond issue. Term origin:SMER,A kind of debt issue prospectus.
bond listing,Class,,,A kind of security listing.
bond market,Class,,,
bond maturity registrar,Class,,The person or entity responsible for maintaining records on behalf of the issuer that identify the owners of a registered bond issue. The trustee under a bond contract often also acts as registrar.,A kind of contract third party.
bond mid price,Class,,,
bond offer issue,Class,,"An Issue of one or more Bonds, as all or part of an Offering of these bonds to the market.","A kind of debt offer issue. A valid occurrence satisfies the following necessary condition:
described in at least one occurrence of bond issue prospectus."
bond offer issue with warrant,Class,,"A bond issue where the issue includes a Warrant attached. Further notes: ISO 10962 CFI definition is A bond that is issued together with one or more warrant(s) attached as part of the offer, the warrant(s) granting the holder the right to purchase a designated security, often the common stock of the issuer of the debt, at a specified price. Review notes: This need not be any specific type of bond. The warrant is used as a sweetener to encourage people to subscribe to a new bond issue. The Bond and the Warrant trade together as a unit (called 'Bond Unit').","A kind of bond offer issue and Error12. A valid occurrence may have the following properties:
is issue of (please review) any number of occurrences of traditional warrant or bond."
bond option,Class,,"An option on a traded futures contract for a Bond. When exercised, the holder exercises the right to buy the future on a Bond, s/he does not exercise the right to buy a bond.","A kind of debt derivative contract and option contract on futures. A valid occurrence satisfies the following necessary condition:
underlying at least one occurrence of bond option underlying."
bond option underlying,Class,,"The underlying on a Bond Option, which is the corresponding Bond Future contract on the same exchange.",A kind of option on futures underlying.
bond option underlying transaction,Class,,"A transaction which is defined in a bond option contract and which may or may not take place, at the discretion of the holder of the option. If it does take place, this will be a transaction for the purchase or sale of the deliverable underlying (in this case a bond) as defined in the option contract.","A kind of financial securities secondary market transaction and optional underlying transaction. A valid occurrence may have the following properties:
underlying bond price any number of occurrences of percentage."
bond pool,Class,,A pool investment consisting of a collection of Bonds.,
bond principal repayment terms set,Class,,Terms for the repayment of the Principal on a Bond security.,A kind of tradable debt security redemption terms set.
bond redemption payment,Class,,,"A kind of contractually defined numerical parameter and timed parameter. A valid occurrence satisfies the following necessary condition:
has terms at least one occurrence of bond principal repayment terms set."
bond trading context,Class,,,A kind of secondary market trading context.
bond underlying,Class,,,A kind of debt observable.
bond variable coupon,Class,,,"A kind of bond coupon. A valid occurrence satisfies the following necessary condition:
projected value at least one occurrence of projected coupon payment value.A valid occurrence may also have the following properties:
coupon amount any number of occurrences of dated percentage."
bond variable coupon terms set,Class,,,"A kind of bond coupon interest terms. A valid occurrence satisfies the following necessary conditions:
has formula at least one occurrence of variable interest calculation formula.
specifies base rate at least one occurrence of market rate.A valid occurrence may also have the following properties:
reset date offset days any number of occurrences of integer value.
has formula term any number of occurrences of variable interest calculation formula."
bond with mandatory sinking fund,Class,,Bonds where the amortizing is via a sinking fund the details of which are mandated in the terms of the bond itself.,"A kind of amortizing bond. A valid occurrence satisfies the following necessary condition:
mandates sinking fund as described in at least one occurrence of mandatory sinking fund description."
bond with partial call,Class,,A bond with a feature whereby the issue can be partially called for amounts that are at the discretion of the issuer.,"A kind of callable bond. A valid occurrence satisfies the following necessary condition:
has call terms at least one occurrence of partial call feature."
bond with published sinking fund,Class,,,"A kind of amortizing bond. A valid occurrence may have the following properties:
has published sinking fund amortization terms description any number of occurrences of published sinking fund amortization terms description."
bond with warrant,Class,,A bond issue where the issue includes a Warrant attached. This need not be any specific type of bond.,A kind of bond.
Boolean value,Class,,,"A kind of atomic value. A valid occurrence satisfies the following necessary condition:
hasValue exactly one value of boolean."
borrower,Class,,a party to a debt instrument that is obligated to repay the amount borrowed (principal) with interest and other fees according to the terms of the instrument,"A kind of contract party and debtor. A valid occurrence satisfies the following necessary conditions:
owes at least one occurrence of debt.
is played by at least one occurrence of `is a party to` some `debt instrument [fibo-fbc-fi-fi:DebtInstrument]`."
borrower,Class,,,"A kind of debtor. A valid occurrence satisfies the following necessary condition:
party to at least one occurrence of debt terms."
borrower data protection requirement  (please review),Class,,,"A kind of data protection requirement (please review). A valid occurrence satisfies the following necessary condition:
governs the activities of (please review) at least one occurrence of consumer credit reference agency (please review)."
borrower disclosure requirement  (please review),Class,,,"A kind of disclosure requirement (please review). A valid occurrence satisfies the following necessary conditions:
confers (please review) at least one occurrence of loan product disclosure right (please review).
governs (please review) at least one occurrence of personal loan borrower assessment information (please review)."
borrower monthly income,Class,,total monthly qualifying income of the potential borrower,"A kind of monetary amount. A valid occurrence satisfies the following necessary condition:
has party in role at least one occurrence of borrower."
borrower ongoing dated facts  (please review),Class,,Ongoing information about the borrower.,"A valid occurrence satisfies the following necessary conditions:
appraised by (please review) at least one occurrence of loan servicer (please review).
is about (please review) at least one occurrence of disbursed loan.A valid occurrence may also have the following properties:
assessment date (please review) any number of occurrences of date.
repossession history (please review) any number of occurrences of Boolean value.
includes (please review) any number of occurrences of borrower ongoing dated facts (please review)."
borrower right  (please review),Class,,,A kind of consumer right (please review).
borrowing capacity,Class,,an amount of money that an individual or organization can borrow,"A kind of legal capacity. A valid occurrence may have the following properties:
has available amount any number of occurrences of monetary amount.
applies to any number of occurrences of legal person.
has date any number of occurrences of date."
branch,Class,,"A part of a business organization or company, identified as a branch.",A kind of organizational sub unit.
branch of government,Class,,"a division of the government of a state, with separate and independent powers and areas of responsibility so that the powers of one branch are not in conflict with the powers associated with the other branches",A kind of government body.
brand name,Class,,"A name with or without some strong image (usually legally defined), which identifies an organization or some part of product or service thereof.",A kind of name.
bricks and mortar holding,Class,,A holding of built property.,"A kind of portfolio holding. A valid occurrence satisfies the following necessary condition:
takes form of at least one occurrence of real estate."
bridging loan purpose,Class,,,A kind of loan purpose.
brokerage account,Class,,an account offered by a broker that allows the investor to deposit funds and place investment orders,"A kind of investment account. A valid occurrence satisfies the following necessary conditions:
is provided by at least one occurrence of (Unnamed Class).
has party in role at least one occurrence of (Unnamed Class)."
brokerage firm,Class,,"a firm in the business of buying and selling securities, operating as both a broker and a dealer, depending on the transaction",A kind of non-depository institution.
build america bond,Class,,"Taxable municipal securities issued through December 31, 2010 under the American Recovery and Reinvestment Act of 2009 (ARRA). BABs may be direct pay subsidy bonds or tax credit bonds.",A kind of municipal bond.
building,Class,,A discrete construction on its own foundations or pilings.,"A kind of built property. A valid occurrence satisfies the following necessary conditions:
building identified by at least one occurrence of street address text.
has part at least one occurrence of building sub unit.A valid occurrence may also have the following properties:
building identified by any number of occurrences of street address text."
building sub unit,Class,,A discrete subdivision of some Building.,A kind of built property.
building sub unit address fragment,Class,,,"A kind of postal address element. A valid occurrence satisfies the following necessary condition:
identifies building sub unit at least one occurrence of building sub unit.A valid occurrence may also have the following properties:
address fragment any number of occurrences of text value."
built property,Class,,Something which is constructed via construction methods; bricks and mortar.,"A kind of discrete physical thing. A valid occurrence satisfies the following necessary condition:
has location at least one occurrence of geophysical location."
bulldog market,Class,,As for Yankee bond market but in UK instead of the US.,A kind of notional financial marketplace.
bullet bond,Class,,A bond where the principal is paid off in a single payment on the scheduled maturity date.,"A kind of bond. A valid occurrence satisfies the following necessary condition:
has repayment terms at least one occurrence of bond bullet principal repayment terms set."
bullet redemption payment,Class,,,"A kind of bond redemption payment. A valid occurrence satisfies the following necessary condition:
has terms at least one occurrence of bond bullet principal repayment terms set."
bullion,Class,,Any precious metal.,"A kind of negotiable commodity. A valid occurrence may have the following properties:
is of bullion type any number of occurrences of BullionTypeSelection.
measurement unit any number of occurrences of bullion measurement unit."
bullion measurement unit,Class,,Units in which bullion may be measured.,A kind of unit of mass.
bullion physical delivery,Class,,Delivery of any precious metal.,"A kind of commodity physical delivery. A valid occurrence may have the following properties:
total physical quantity any number of occurrences of Number.
is delivery of bullion type any number of occurrences of BullionTypeSelection."
BullionTypeSelection,Class,,A type of bullion i.e. a metal which will be defined as a bullion commodity.,
bundle of resources,Class,,,A kind of economic resource.
bundle of resources,Class,,,A kind of economic resource.
business,Class,,Some entity set up for the purposes of carrying out some commercial activities for profit.,"A kind of functional business entity. A valid occurrence satisfies the following necessary conditions:
has commercial identity at least one occurrence of brand name.
is characterized by at least one occurrence of commercial activity.
has commercial identity at least one occurrence of brand name."
business agent,Class,,An agent which is capable of causing some business event or providing some service in a business context.,"A valid occurrence satisfies the following necessary conditions:
motivation at least one occurrence of business goal.
business agent has identity at least one occurrence of formal organization."
business agent context,Class,,"A business process, work stream or other business area, in which various processes, actors, activities and so on are combined to achieve some business goal.","A valid occurrence satisfies the following necessary conditions:
goal at least one occurrence of business goal.
involves at least one occurrence of business agent."
business calendar code,Class,,"The Calendar for a particular business center, which defines what are the working days in that center.",A kind of code element.
business center,Class,,"a municipality where business is conducted, especially one that is considered a financial center",A kind of municipality.
business day,Class,,A working day as defined in the Business Calendar for a particular business center.,"A kind of calendar temporal unit. A valid occurrence satisfies the following necessary conditions:
defined in at least one occurrence of business calendar code.
defined in at least one occurrence of business calendar code."
business day adjustment,Class,,a convention that specifies what happens when a date falls on a day that is a weekend or a holiday in some business center,"A kind of convention. A valid occurrence satisfies the following necessary conditions:
has business day convention exactly one occurrence of business day convention.
has business center exactly one occurrence of business center."
business day convention,Class,,,A kind of convention.
business day convention,Class,,a convention that enumerates the possible ways to handle a date that falls on a weekend or holiday,A kind of convention.
business day type,Class,,When calculating the number of days between two dates the count includes only business days.,A kind of day type.
business entity,Class,,an entity that is formed and administered as per commercial law in order to engage in business activities,"A kind of formal organization. A valid occurrence satisfies the following necessary conditions:
holds at least one occurrence of license.
has objective at least one occurrence of business objective."
business function referent,Class,,,"A kind of synechdocal thing. A valid occurrence satisfies the following necessary condition:
implies context at least one occurrence of organization context.A valid occurrence may also have the following properties:
implements policy any number of occurrences of policy.
pursues policy any number of occurrences of policy."
business goal,Class,,A Goal is a state or condition of the enterprise to be brought about or sustained through appropriate Means.,A kind of goal.
business license,Class,,a license that allows the holder to conduct business or carry out a specific profession within some jurisdiction for some period of time,"A kind of license. A valid occurrence satisfies the following necessary conditions:
is recognized in at least one occurrence of jurisdiction.
applies to exactly one occurrence of business entity.
holds during exactly one occurrence of date period."
business objective,Class,,an objective that reflects the strategic goals and direction of a business,A kind of objective.
business recurrence interval,Class,,a recurrence interval that is specified using a business recurrence interval convention,"A kind of recurrence interval. A valid occurrence satisfies the following necessary condition:
has business recurrence interval convention exactly one occurrence of business recurrence interval convention."
business recurrence interval convention,Class,,"a convention for modeling recurring days, such as the end of the month, a particular day of the month, a day of the week, or more specifically, a t-bill auction date",A kind of convention.
business registration authority,Class,,a governmental registration authority that is responsible for maintaining a registry of business entities for a particular jurisdiction,"A kind of registration authority. A valid occurrence satisfies the following necessary conditions:
manages at least one occurrence of business registry.
is governed by exactly one occurrence of jurisdiction."
business registry,Class,,a registry for registering and maintaining information about business entities for a particular jurisdiction,"A kind of registry. A valid occurrence satisfies the following necessary conditions:
is managed by exactly one occurrence of business registration authority.
is governed by exactly one occurrence of jurisdiction."
business registry entry,Class,,an entry in a business registry,A kind of registry entry.
business site,Class,,"An address from which a business entity carries out its business, such as a shop or offices. This is the address which is generally shown on advertising by that company.","A kind of physical site. A valid occurrence may have the following properties:
is primary address any number of occurrences of Boolean value."
business strategy,Class,,"A plan, method, or series of maneuvers or stratagems for obtaining a specific business goal.","A kind of strategy. A valid occurrence satisfies the following necessary condition:
to fulfil at least one occurrence of business goal."
buyer,Class,"buyer,purchaser","a party that acquires, or agrees to acquire, ownership (in case of goods), or benefit or usage (in case of services), in exchange for money or other consideration under a contract of sale","A kind of party in role. A valid occurrence satisfies the following necessary condition:
buys at least one occurrence of product.A valid occurrence may also have the following properties:
buys from any number of occurrences of seller."
bylaw,Class,"delegated legislation,byelaws","Corporate bylaws are typically called Articles of Association in the United Kingdom, or Articles of Incorporation in the United States. In government usage, the term bylaws is used to describe laws, orders, regulations, rules, etc., made by a ministry, local authority (a municipality, for example), or public corporation, in accordance with the powers conferred by or delegated under a statue (called the parent act).",A kind of law.
c b o deal,Class,,An issue of Collateralized Bond Obligation notes.,A kind of collateralized obligation deal.
c b o instrument,Class,,A multitranche debt structure similar in some respects to a collateralized mortgage obligation (CMO) structure. Typically low-rated bonds rather than mortgages serve as the collateral. The organization creating and promoting the structure usually holds the underlying equity and may also collect a fee.,A kind of cash c d o tranche.
c d o cashflow treatment structure,Class,,The way in which cash flows are handled in a CDO.,A kind of method.
c d o deal,Class,,An Issue of a set of CDO tranches as part of an offering to the market.,"A kind of collateralized obligation deal. A valid occurrence satisfies the following necessary conditions:
has tranche at least one occurrence of mezzanine c d o tranche.
has tranche at least one occurrence of subordinated c d o equity.
has tranche at least one occurrence of senior c d o tranche.
holds at least one occurrence of c d o portfolio.
is issue of (please review) at least one occurrence of c d o note.
has tranche at least one occurrence of super senior c d o tranche.
has underlying pool at least one occurrence of debt instrument pool.
managed by at least one occurrence of c d o portfolio manager.A valid occurrence may also have the following properties:
structure any number of occurrences of c d o cashflow treatment structure.
management style any number of occurrences of c d o management style.
has c d o origination objective any number of occurrences of c d o origination objective."
c d o issuing party,Class,,"The party which issues the CDO on behalf of the sponsor. This is identified as being a Special Purpose Vehicle (SPV) set up specifically to issue the CDO. A CDO has a sponsoring organization, which establishes a special purpose vehicle to hold collateral and issue securities. Sponsors can include banks, other financial institutions or investment managers, as described below. Expenses associated with running the special purpose vehicle are subtracted from cash flows to investors. Often, the sponsoring organization retains the most subordinate equity tranch of a CDO.","A kind of security issuer. A valid occurrence satisfies the following necessary condition:
described as at least one occurrence of debt s p v."
c d o management style,Class,,The manner in which reference assets are managed during the life of a CDO.,A kind of method.
c d o note,Class,,"Collateralized Debt Obligation. This is a type of asset-backed security and is constructed from a portfolio of fixed income assets including corporate loans and mortgage backed securities. A special purpose vehicle (SPV) issues notes to investors in order to raise funds that are invested in a portfolio of those fixed income assets, held by the SPV as collateral for the notes. Further notes: Collateralized Debt Obligation, for example, ABS CDO which consists of a portfolio of different ABS bonds, and the payments to the holders of these trust certificates are derived from the cash flows of the ABS bonds. This CDO instrument is part of a CDO issue, consisting of individual CDO instruments of a given seniority. Often referred to as tranches and slices (Investopedia). Investopedia: Similar in structure to a collateralized mortgage obligation (CMO) or collateralized bond obligation (CBO), CDOs are unique in that they represent different types of debt and credit risk. In the case of CDOs, these different types of debt are often referred to as 'tranches' or 'slices'. Each slice has a different maturity and risk associated with it. The higher the risk, the more the CDO pays. Further details: Collateralized Debt obligations are securitized interests in pools of - generally non-mortgage - assets. Assets - called collateral - usually comprise loans or debt instruments. A CDO may be called a collateralized loan obligation (CLO) or collateralized bond obligation (CBO) if it holds only loans or bonds, respectively. Investors bear the credit risk of the collateral. Multiple tranches of securities are issued by the CDO, offering investors various maturity and credit risk characteristics.","A kind of structured finance instrument. A valid occurrence satisfies the following necessary conditions:
may be subordinated to exactly one occurrence of c d o note.
issuer at least one occurrence of c d o issuing party.A valid occurrence may also have the following properties:
tranche any number of occurrences of text value.
has origination objective any number of occurrences of c d o origination objective.
seniority any number of occurrences of CDOTrancheSenioritySelection.
is cash any number of occurrences of Boolean value.
has deal management style any number of occurrences of c d o management style.
has structure type any number of occurrences of c d o cashflow treatment structure.
subordinated to at most one occurrence of c d o note."
c d o origination objective,Class,,The origin or motivation behind a CDO issue.,A kind of objective.
c d o pool,Class,,A pool of CDO securities. The underlying of the CDO Squared is a pool of CDO instruments.,A kind of structured finance instrument pool.
c d o portfolio,Class,,A portfolio in which the reference assets of the CDO are held.,"A kind of investment portfolio. A valid occurrence satisfies the following necessary conditions:
managed by at least one occurrence of c d o portfolio manager.
holds at least one occurrence of m b s instrument slice.
overseen by at least one occurrence of c d o portfolio trustee."
c d o portfolio manager,Class,,The portfolio manager for a managed CDO or arbitrage CDO (also called an asset manager). This assumes that the role is the same in both cases.,"A kind of party in role. A valid occurrence satisfies the following necessary condition:
manages at least one occurrence of c d o portfolio."
c d o portfolio trustee,Class,,,A kind of trustee.
c d o reference obligation,Class,,A CDS Reference Obligation specifically defined for and referenced in a Synthectic CDO.,"A kind of c d s reference obligation. A valid occurrence satisfies the following necessary condition:
becomes constituent at least one occurrence of synthetic c d o portfolio constituent."
c d o squared deal,Class,,An issue of CDO Squared notes.,"A kind of c d o deal. A valid occurrence satisfies the following necessary condition:
has underlying pool at least one occurrence of c d o pool."
c d o squared instrument,Class,,CDOs where the underlying asset pool is CDOs.,A kind of c d o note.
c d s cash settlement,Class,,,"A kind of c d s contingent delivery terms. A valid occurrence may have the following properties:
specifies dealer any number of occurrences of c d s cash settlement dealer.
valuation date any number of occurrences of date.
specifies dealer any number of occurrences of c d s cash settlement dealer.
minimum quotation amount any number of occurrences of monetary amount.
accrued interest applicable any number of occurrences of Boolean value.
settlement currency any number of occurrences of currency.
valuation time any number of occurrences of time of day.
valuation method any number of occurrences of c d s cash settlement valuation method.
quotation method any number of occurrences of c d s cash settlement quotation method.
cash settlement business days any number of occurrences of integer value.
quotation amount any number of occurrences of monetary amount."
c d s cash settlement dealer,Class,,A party from whom quotations are obtained by the calculation agent on the reference obligation for purposes of cash settlement of a CDS.,
c d s cash settlement quotation method,Class,,"The specification of the type of quotation rate to be obtained from each cash settlement reference bank. Further notes: For example, Bid, Offer or Mid-market. FpML Definition: The specification of the type of quotation rate to be obtained from each cash settlement reference bank.",A kind of method.
c d s cash settlement valuation method,Class,,The defined methodology for determining the final price of the reference obligation for purposes of cash settlement. FpML: The ISDA defined methodology for determining the final price of the reference obligation for purposes of cash settlement.,A kind of method.
c d s contingent delivery commitment,Class,,,A kind of contingent transaction commitment.
c d s contingent delivery side,Class,,The settlement of a CDS deal in the event that the events specified in the Contingent Leg of the deal take place.,"A valid occurrence satisfies the following necessary condition:
defined as at least one occurrence of c d s contingent delivery terms."
c d s contingent delivery terms,Class,,The settlement of a CDS deal in the event that the events specified in the Contingent Leg of the deal take place.,"A valid occurrence satisfies the following necessary condition:
equates to at least one occurrence of c d s contingent delivery commitment."
c d s contingent settlement commitment,Class,,,A kind of contingent transaction commitment.
c d s contingent transaction,Class,,The transaction which takes place in the event that the specified Credit Event in a Credit default Swap takes place. Deifnition Origin:SMER,"A kind of financial securities secondary market transaction. A valid occurrence satisfies the following necessary conditions:
embodies at least one occurrence of credit default swap contract.
has delivery side at least one occurrence of c d s contingent delivery side.
has buyer at least one occurrence of deliverable obligation buyer.
has seller at least one occurrence of deliverable obligation seller.
has subject at least one occurrence of deliverable obligation.
has settlement side at least one occurrence of c d s contingent transaction settlement."
c d s contingent transaction settlement,Class,,"Settlement for the transaction agreed in the CDS, which takes place if the Credit Event takes place. This is the payment as agreed by the Protection Seller, who becomes the buyer of the Deliverable Obligation. Deifnition Origin:SMER","A kind of settlement terms. A valid occurrence satisfies the following necessary condition:
equates to at least one occurrence of c d s contingent settlement commitment."
c d s credit event,Class,,,"A kind of credit event. A valid occurrence satisfies the following necessary conditions:
pertains to by reference at least one occurrence of c d s credit event reference.
notified by at least one occurrence of notifying party."
c d s credit event reference,Class,,,
c d s fee leg stream,Class,,Terms defining the fee leg in a CDS contract,"A valid occurrence may have the following properties:
quotation style any number of values of string.
single payment any number of occurrences of monetary amount.
initial payment at most one occurrence of monetary amount.
defines periodic payments at most one occurrence of c d s periodic payment schedule.
single payment any number of occurrences of monetary amount.
market fixed rate at most one occurrence of percentage.
protection seller payment at most one occurrence of monetary amount.
initial points at most one occurrence of percentage.
payment delay any number of occurrences of Boolean value."
c d s fee payment commitment,Class,,"The commitment in a Credit Default Swap, to pay the fee or fees for the credit protection.","A valid occurrence satisfies the following necessary condition:
defined as at least one occurrence of c d s fee leg stream."
c d s fee payment schedule specification,Class,,A schedule expressing payment events and dates.,A kind of c d s periodic payment schedule and regular schedule.
c d s party,Class,,Either party to a Credit Default Swap contract.,"A kind of swap party. A valid occurrence satisfies the following necessary condition:
becomes party at least one occurrence of contingent transaction party."
c d s periodic payment schedule,Class,,The schedule of fixed amounts to be paid on specified payment dates.,A kind of schedule.
c d s physical settlement,Class,,Physical settlement is where you deliver the reference obligation (e.g.a bond) itself. Deifnition Origin:SMER,"A kind of c d s contingent delivery terms. A valid occurrence satisfies the following necessary condition:
specifies at least one occurrence of deliverable obligation.A valid occurrence may also have the following properties:
physical settlement period any number of occurrences of duration description in calendar temporal unit.
escrow applicable any number of occurrences of Boolean value.
may require at most one occurrence of escrow agent.
sixty business day settlement cap any number of occurrences of Boolean value."
c d s reference entity,Class,,"The legal entity on which the protection buyer is buying or selling protection and any successor that assumes all or substantially all of its contractual and other obligations. This is the legal entity to which a Credit Event refers, if the event is defined in relation to some legal entity.",A kind of c d s credit event reference.
